genre,model_id,relevance,novelty,satisfaction,count
Metal/Hard Rock,model1,2.0217391304347827,3.114130434782609,2.532608695652174,184
Metal/Hard Rock,model2,2.1467391304347827,3.130434782608696,2.1467391304347827,184
Metal/Hard Rock,model3,2.5815217391304346,3.266304347826087,2.7065217391304346,184
Pop/R&B,model1,1.8967391304347827,3.244565217391304,2.5380434782608696,184
Pop/R&B,model2,2.125,3.2119565217391304,2.614130434782609,184
Pop/R&B,model3,2.3097826086956523,3.0489130434782608,2.6684782608695654,184
Pop/Synthpop,model1,2.4239130434782608,3.152173913043478,2.989130434782609,184
Pop/Synthpop,model2,1.875,2.967391304347826,2.027173913043478,184
Pop/Synthpop,model3,2.0597826086956523,2.630434782608696,2.347826086956522,184
